player,team,agents,rounds_played,rating,acs,adr,kpr,apr,fkpr,fdpr,kills,deaths,assists,first_kills,first_deaths,hs_pct,clutch_success_pct,clutches_won_played,max_kills_map,tournament,stage,match_type,map,game_id,match_id,kdr,kad,fk_fd_diff,hs_rate,clutch_rate
barricade,Night Wings Gaming,"cypher, harbor, killjoy, neon, viper",282,0.88,182.0,118.0,0.67,0.14,0.07,0.1,188,205,39,21,27,27.0,13.0,7/52,23,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.9170731707317074,1.1073170731707318,-6,0.27,0.1346153846153846
cxyy,Night Wings Gaming,"astra, omen, viper",282,0.93,174.0,116.0,0.61,0.37,0.09,0.1,173,207,105,26,27,28.0,12.0,4/34,22,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.8357487922705314,1.3429951690821256,-1,0.28,0.1176470588235294
gagaaaa,Douyu Gaming,"brimstone, harbor, sova, viper",216,1.0,198.0,135.0,0.68,0.3,0.06,0.07,146,144,64,14,15,22.0,21.0,6/29,21,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,1.0138888888888888,1.4583333333333333,-1,0.22,0.2068965517241379
maizi,TYLOO,"breach, raze, skye, sova",155,1.05,200.0,134.0,0.68,0.25,0.1,0.06,106,102,38,15,9,24.0,10.0,1/10,19,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,1.03921568627451,1.411764705882353,6,0.24,0.1
nos,Weibo Gaming,"astra, brimstone, omen",342,1.03,171.0,103.0,0.6,0.39,0.08,0.06,205,234,134,16,12,30.0,38.0,8/21,19,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.8760683760683761,1.448717948717949,4,0.3,0.3809523809523809
sphiry,Four Angry Men,"fade, kayo, sova, viper",358,1.19,204.0,139.0,0.74,0.27,0.07,0.06,264,238,95,22,17,34.0,16.0,7/43,28,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,1.1092436974789917,1.5084033613445378,5,0.34,0.1627906976744186
suyjing,TYLOO,"breach, raze, skye, sova",286,,157.0,,0.55,0.33,,,158,202,93,0,0,,,,16,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.7821782178217822,1.2425742574257426,0,,
wqc,Nova Esports,"jett, neon, sova",199,1.05,232.0,143.0,0.79,0.18,0.15,0.16,158,143,36,29,32,26.0,0.0,0/22,23,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,1.1048951048951048,1.356643356643357,-3,0.26,0.0
yyy,Douyu Gaming,"cypher, gekko, killjoy",216,0.91,177.0,121.0,0.63,0.18,0.08,0.09,137,155,38,17,20,25.0,5.0,2/38,24,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.8838709677419355,1.1290322580645162,-3,0.25,0.0526315789473684
Harmii,Team Liquid,raze,48,0.84,175.0,108.0,0.67,0.15,0.1,0.23,32,35,7,5,11,18.0,0.0,0/5,16,Champions Tour 2023: EMEA League,All Stages,All Match Types,,,,0.9142857142857144,1.1142857142857143,-6,0.18,0.0
ZE1SH,Karmine Corp,"breach, kayo, viper",233,0.66,129.0,83.0,0.45,0.31,0.05,0.11,104,173,73,11,25,28.0,11.0,3/28,16,Champions Tour 2023: EMEA League,All Stages,All Match Types,,,,0.6011560693641619,1.023121387283237,-14,0.28,0.1071428571428571
weber,Team Heretics,"breach, kayo, killjoy, skye, sova",169,0.87,155.0,109.0,0.56,0.36,0.04,0.05,95,119,60,7,9,37.0,19.0,4/21,24,Champions Tour 2023: EMEA League,All Stages,All Match Types,,,,0.7983193277310925,1.3025210084033614,-2,0.37,0.1904761904761904
YuChEn,FunPlus Phoenix,viper,59,1.05,189.0,125.0,0.68,0.34,0.05,0.12,40,42,20,3,7,34.0,0.0,0/10,18,Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,,,,0.9523809523809524,1.4285714285714286,-4,0.34,0.0
Dingwei,Dragon Ranger Gaming,"skye, sova, viper",151,,160.0,,0.54,0.3,,,82,107,45,0,0,,,,18,Champions Tour 2024: China Kickoff,All Stages,All Match Types,,,,0.7663551401869159,1.1869158878504673,0,,
QiuYe,Titan Esports Club,"harbor, kayo, killjoy, skye",297,,166.0,,0.57,0.3,,,170,229,90,0,0,,,,23,Champions Tour 2024: China Kickoff,All Stages,All Match Types,,,,0.74235807860262,1.1353711790393013,0,,
B3ar,Bilibili Gaming,"brimstone, harbor, omen, viper",162,,138.0,,0.48,0.4,,,77,107,64,0,0,,,,12,Champions Tour 2024: China Stage 1,All Stages,All Match Types,,,,0.719626168224299,1.3177570093457944,0,,
ICEKING,TYLOO,"astra, breach, fade, kayo, killjoy, skye",255,,158.0,,0.55,0.4,,,141,188,101,0,0,,,,17,Champions Tour 2024: China Stage 1,All Stages,All Match Types,,,,0.75,1.2872340425531914,0,,
MarT1n,JDG Esports,"killjoy, viper",267,,195.0,,0.66,0.24,,,176,187,64,0,0,,,,21,Champions Tour 2024: China Stage 1,All Stages,All Match Types,,,,0.9411764705882352,1.2834224598930482,0,,
PangH,Nova Esports,omen,73,,180.0,,0.56,0.34,,,41,57,25,0,0,,,,18,Champions Tour 2024: China Stage 1,All Stages,All Match Types,,,,0.7192982456140351,1.1578947368421053,0,,
YiHao,JDG Esports,"brimstone, omen",124,,160.0,,0.55,0.47,,,68,81,58,0,0,,,,16,Champions Tour 2024: China Stage 1,All Stages,All Match Types,,,,0.8395061728395061,1.5555555555555556,0,,
AAK,TYLOO,viper,40,,162.0,109.0,0.53,0.18,0.05,0.13,21,31,7,2,5,,,,14,Champions Tour 2024: China Stage 2,All Stages,All Match Types,,,,0.6774193548387096,0.9032258064516128,-3,,
AC,Titan Esports Club,"brimstone, omen, viper",269,,210.0,133.0,0.74,0.43,0.06,0.07,199,185,117,16,19,,,,21,Champions Tour 2024: China Stage 2,All Stages,All Match Types,,,,1.0756756756756756,1.7081081081081082,-3,,
LockM,Titan Esports Club,"breach, brimstone, fade, sova, viper",269,,163.0,111.0,0.56,0.32,0.04,0.06,150,180,86,10,16,,,,20,Champions Tour 2024: China Stage 2,All Stages,All Match Types,,,,0.8333333333333334,1.3111111111111111,-6,,
Spitfires,All Gamers,"jett, raze",263,,229.0,149.0,0.8,0.14,0.25,0.18,210,203,37,67,48,,,,25,Champions Tour 2024: China Stage 2,All Stages,All Match Types,,,,1.0344827586206895,1.2167487684729064,19,,
aluba,Wolves Esports,"killjoy, omen, viper",197,,189.0,122.0,0.7,0.24,0.08,0.06,137,137,48,15,12,,,,23,Champions Tour 2024: China Stage 2,All Stages,All Match Types,,,,1.0,1.3503649635036497,3,,
coldfish,TYLOO,"brimstone, omen, sova, viper",249,,182.0,119.0,0.65,0.31,0.08,0.05,161,174,77,19,12,,,,20,Champions Tour 2024: China Stage 2,All Stages,All Match Types,,,,0.9252873563218392,1.367816091954023,7,,
hfmi0dzjc9z7,TYLOO,"cypher, killjoy, omen, sage, skye, sova",249,,186.0,131.0,0.65,0.23,0.07,0.11,163,176,58,17,27,,,,22,Champions Tour 2024: China Stage 2,All Stages,All Match Types,,,,0.9261363636363636,1.255681818181818,-10,,
kawaii,Titan Esports Club,"cypher, killjoy",92,,173.0,121.0,0.61,0.17,0.07,0.07,56,65,16,6,6,,,,18,Champions Tour 2024: China Stage 2,All Stages,All Match Types,,,,0.8615384615384616,1.1076923076923078,0,,
Wailers,Gentle Mates,"cypher, killjoy, omen",274,0.95,169.0,113.0,0.63,0.22,0.05,0.04,172,174,59,15,10,35.0,5.0,2/40,20,Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,,,,0.9885057471264368,1.3275862068965518,5,0.35,0.05
Shion7,Dragon Ranger Gaming,"gekko, harbor, sova",85,,122.0,94.0,0.42,0.21,0.04,0.15,36,65,18,3,13,,,,14,Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,,,,0.5538461538461539,0.8307692307692308,-10,,
yuran,ZETA DIVISION,"breach, kayo, viper",284,0.8,154.0,102.0,0.5,0.52,0.05,0.1,142,211,148,14,27,25.0,4.0,1/25,20,Champions Tour 2024: Pacific Stage 2,All Stages,All Match Types,,,,0.6729857819905213,1.3744075829383886,-13,0.25,0.04
01000010,leptospirose,"jett, raze",67,0.59,172.0,107.0,0.57,0.16,0.12,0.21,38,58,11,8,14,24.0,0.0,0/8,15,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.6551724137931034,0.8448275862068966,-6,0.24,0.0
100SkiLLxD,fakezinn,"astra, sova, viper",50,0.78,161.0,108.0,0.56,0.16,0.06,0.1,28,38,8,3,5,20.0,11.0,1/9,12,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.7368421052631579,0.9473684210526316,-2,0.2,0.1111111111111111
2Dms,CrossFogo,"cypher, killjoy",38,0.63,166.0,107.0,0.58,0.08,0.08,0.11,22,32,3,3,4,26.0,20.0,1/5,16,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.6875,0.78125,-1,0.26,0.2
AKMito23,Raven Tears,"chamber, sova",31,0.49,130.0,92.0,0.39,0.16,0.06,0.06,12,29,5,2,2,38.0,0.0,0/7,8,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.4137931034482758,0.5862068965517241,0,0.38,0.0
Abel,Erro VAL7,astra,86,0.72,149.0,111.0,0.55,0.26,0.12,0.12,47,64,22,10,10,22.0,0.0,0/9,19,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.734375,1.078125,0,0.22,0.0
Avst,a crache dos pro,astra,38,0.91,207.0,135.0,0.63,0.16,0.08,0.03,24,29,6,3,1,23.0,0.0,0/5,14,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.8275862068965517,1.0344827586206895,2,0.23,0.0
BRIAN MAQUINISTA,improvisad0,sova,102,0.91,161.0,118.0,0.47,0.34,0.05,0.07,48,69,35,5,7,24.0,6.0,1/17,15,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.6956521739130435,1.2028985507246377,-2,0.24,0.0588235294117647
Bahiaa,Jacarezinho,sova,38,0.9,210.0,141.0,0.71,0.24,0.11,0.13,27,31,9,4,5,35.0,0.0,0/9,15,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.8709677419354839,1.1612903225806452,-1,0.35,0.0
Bas1c,Arkadia e-Sports,"skye, sova",36,0.67,160.0,109.0,0.56,0.06,0.11,0.17,20,29,2,4,6,32.0,25.0,1/4,15,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.6896551724137931,0.7586206896551724,-2,0.32,0.25
Borba,tremb4l4,"cypher, killjoy, sage",70,0.91,157.0,101.0,0.54,0.24,0.11,0.04,38,45,17,8,3,25.0,25.0,1/4,14,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.8444444444444444,1.2222222222222223,5,0.25,0.25
CRMESSI,Utah Bless,sova,81,1.11,180.0,138.0,0.6,0.33,0.02,0.02,49,46,27,2,2,28.0,17.0,3/18,18,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,1.065217391304348,1.6521739130434785,0,0.28,0.1666666666666666
Cabelin47,fakezinn,"raze, sage",50,0.9,169.0,106.0,0.62,0.36,0.06,0.1,31,36,18,3,5,23.0,14.0,1/7,16,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.8611111111111112,1.3611111111111112,-2,0.23,0.1428571428571428
Caim,Erro VAL7,"raze, sova",86,0.96,207.0,140.0,0.69,0.26,0.08,0.06,59,65,22,7,5,22.0,5.0,1/21,20,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.9076923076923076,1.2461538461538462,2,0.22,0.0476190476190476
Caiozada,NGI,sova,34,0.68,137.0,104.0,0.44,0.12,0.0,0.03,15,28,4,0,1,27.0,14.0,1/7,10,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.5357142857142857,0.6785714285714286,-1,0.27,0.1428571428571428
Carlin,VK Gaming,jett,44,,336.0,201.0,1.14,0.16,0.27,0.09,50,35,7,12,4,21.0,17.0,1/6,28,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,1.4285714285714286,1.6285714285714286,8,0.21,0.1666666666666666
Celorrr,PUGzeros,raze,15,0.38,112.0,83.0,0.27,0.2,0.07,0.13,4,15,3,1,2,16.0,0.0,0/2,4,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.2666666666666666,0.4666666666666667,-1,0.16,0.0
Cescc,semTAG,"cypher, killjoy",79,,154.0,103.0,0.56,0.14,0.09,0.13,44,55,11,7,10,24.0,0.0,0/5,13,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.8,1.0,-3,0.24,0.0
DK21,Esquema Único,sova,37,,222.0,138.0,0.73,0.14,0.11,0.19,27,34,5,4,7,35.0,0.0,0/7,17,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.7941176470588235,0.9411764705882352,-3,0.35,0.0
Dede,FALTAM 2 MIN,sova,31,,158.0,113.0,0.52,0.26,0.0,0.06,16,29,8,0,2,15.0,0.0,0/9,11,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.5517241379310345,0.8275862068965517,-2,0.15,0.0
DekJ,SEMORGG,"cypher, viper",43,0.73,175.0,120.0,0.56,0.28,0.05,0.09,24,35,12,2,4,25.0,25.0,1/4,17,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.6857142857142857,1.0285714285714285,-2,0.25,0.25
DerDrago,Team RUIM,sage,17,0.46,110.0,68.0,0.41,0.18,0.06,0.12,7,15,3,1,2,27.0,0.0,0/3,7,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.4666666666666667,0.6666666666666666,-1,0.27,0.0
Destruidor,Team RUIM,"sova, viper",31,0.61,166.0,117.0,0.42,0.19,0.03,0.16,13,28,6,1,5,26.0,20.0,1/5,8,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.4642857142857143,0.6785714285714286,-4,0.26,0.2
Driss,SEMORGG,"kayo, reyna",43,0.87,213.0,139.0,0.7,0.37,0.09,0.19,30,37,16,4,8,17.0,17.0,2/12,16,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.8108108108108109,1.2432432432432432,-4,0.17,0.1666666666666666
FLV,EXcuse,skye,71,1.08,199.0,129.0,0.7,0.27,0.04,0.08,50,46,19,3,6,22.0,25.0,2/8,20,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,1.0869565217391304,1.5,-3,0.22,0.25
FTZ,Arkadia e-Sports,"killjoy, viper",36,0.7,124.0,83.0,0.39,0.06,0.11,0.06,14,28,2,4,2,15.0,0.0,0/6,7,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.5,0.5714285714285714,2,0.15,0.0
FV,5 homens e 1 segredo,sova,114,1.02,223.0,151.0,0.76,0.31,0.14,0.11,87,84,35,16,13,33.0,20.0,1/5,20,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,1.0357142857142858,1.4523809523809523,3,0.33,0.2
Felipino,a crache dos pro,"jett, neon",38,0.5,100.0,74.0,0.37,0.05,0.03,0.16,14,31,2,1,6,23.0,0.0,0/3,11,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.4516129032258064,0.5161290322580645,-5,0.23,0.0
Fir3,Esquema Único,"cypher, omen",37,,142.0,100.0,0.46,0.14,0.08,0.16,17,33,5,3,6,15.0,17.0,1/6,13,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.5151515151515151,0.6666666666666666,-3,0.15,0.1666666666666666
Flemis,NOTAG,astra,34,0.44,111.0,81.0,0.32,0.12,0.03,0.21,11,31,4,1,7,20.0,20.0,1/5,7,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.3548387096774194,0.4838709677419355,-6,0.2,0.2
Foragi,ORN FC Esports,"astra, viper",38,1.21,184.0,139.0,0.68,0.5,0.03,0.05,26,23,19,1,2,21.0,0.0,0/2,16,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,1.1304347826086956,1.9565217391304348,-1,0.21,0.0
FuNy,"Azul, NGI","breach, reyna, sova",84,0.83,180.0,124.0,0.58,0.23,0.07,0.13,49,65,19,6,11,34.0,0.0,0/14,17,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.7538461538461538,1.0461538461538462,-5,0.34,0.0
FvcksoloQ,backyardigans,"astra, killjoy",29,0.28,71.0,48.0,0.24,0.07,0.0,0.1,7,28,2,0,3,17.0,0.0,0/7,5,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.25,0.3214285714285714,-3,0.17,0.0
GjW,Azul,sova,79,1.19,222.0,145.0,0.78,0.34,0.04,0.05,62,50,27,3,4,20.0,31.0,5/16,24,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,1.24,1.78,-1,0.2,0.3125
Gltss,Griffos E-Sports,viper,37,0.53,133.0,96.0,0.41,0.24,0.0,0.11,15,33,9,0,4,21.0,0.0,0/7,8,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.4545454545454545,0.7272727272727273,-4,0.21,0.0
Gunther,UFMG Fênix,killjoy,34,0.68,164.0,124.0,0.5,0.18,0.06,0.09,17,28,6,2,3,15.0,0.0,0/4,12,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.6071428571428571,0.8214285714285714,-1,0.15,0.0
H3NR1,Tropa do Litoral,viper,30,0.44,116.0,75.0,0.37,0.2,0.03,0.1,11,28,6,1,3,17.0,0.0,0/10,7,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.3928571428571428,0.6071428571428571,-2,0.17,0.0
HTR,Last Dance,"cypher, sova",201,1.13,218.0,146.0,0.75,0.34,0.09,0.06,150,127,68,18,12,16.0,19.0,5/26,21,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,1.1811023622047243,1.7165354330708662,6,0.16,0.1923076923076923
HeteX,Ares e Amigos,skye,86,0.99,176.0,118.0,0.65,0.27,0.05,0.09,56,59,23,4,8,27.0,14.0,1/7,22,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.9491525423728814,1.3389830508474576,-4,0.27,0.1428571428571428
Horakawa,Utah Bless,reyna,81,0.85,202.0,131.0,0.65,0.3,0.15,0.15,53,64,24,12,12,12.0,20.0,1/5,17,Champions Tour Brazil Stage 1: Challengers 1,All Stages,All Match Types,,,,0.828125,1.203125,0,0.12,0.2
